,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
161,22018,1628991,0021800646,"JAN 14, 2019",MEM @ HOU,L,31,5,11,0.455,0,2,0.0,2,3,0.667,0,6,6,1,0,3,2,3,12,-15,1
162,22018,1628991,0021800631,"JAN 12, 2019",MEM @ MIA,L,28,5,8,0.625,1,2,0.5,2,2,1.0,0,5,5,2,3,2,1,2,13,-9,1
163,22018,1628991,0021800611,"JAN 09, 2019",MEM vs. SAS,W,18,5,9,0.556,2,5,0.4,0,0,0.0,0,2,2,0,0,1,3,4,12,4,1
164,22018,1628991,0021800595,"JAN 07, 2019",MEM @ NOP,L,22,6,11,0.545,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,5,12,-12,1
165,22018,1628991,0021800581,"JAN 05, 2019",MEM @ SAS,L,34,5,8,0.625,1,3,0.333,4,5,0.8,2,5,7,1,4,0,2,3,15,1,1
166,22018,1628991,0021800570,"JAN 04, 2019",MEM vs. BKN,L,31,9,15,0.6,0,3,0.0,1,1,1.0,2,2,4,2,0,2,3,5,19,-7,1
167,22018,1628991,0021800560,"JAN 02, 2019",MEM vs. DET,L,35,8,11,0.727,2,2,1.0,8,8,1.0,3,7,10,2,0,0,2,6,26,0,1
168,22018,1628991,0021800544,"DEC 31, 2018",MEM @ HOU,L,13,2,8,0.25,0,2,0.0,0,0,0.0,0,2,2,0,1,0,0,5,4,-3,1
169,22018,1628991,0021800531,"DEC 29, 2018",MEM vs. BOS,L,22,5,7,0.714,1,3,0.333,4,6,0.667,0,4,4,0,1,0,1,4,15,4,1
170,22018,1628991,0021800508,"DEC 26, 2018",MEM vs. CLE,W,28,5,10,0.5,0,1,0.0,1,2,0.5,0,2,2,1,1,1,3,2,11,7,1
171,22018,1628991,0021800496,"DEC 23, 2018",MEM @ LAL,W,31,11,21,0.524,1,2,0.5,4,5,0.8,4,5,9,1,0,0,3,4,27,4,1
172,22018,1628991,0021800477,"DEC 21, 2018",MEM @ SAC,L,24,5,8,0.625,1,2,0.5,1,1,1.0,1,5,6,2,1,3,2,6,12,-4,1
173,22018,1628991,0021800465,"DEC 19, 2018",MEM @ POR,L,29,6,12,0.5,2,4,0.5,2,2,1.0,2,3,5,2,0,3,1,4,16,13,1
174,22018,1628991,0021800449,"DEC 17, 2018",MEM @ GSW,L,22,1,6,0.167,0,1,0.0,1,2,0.5,0,4,4,2,0,0,0,2,3,-11,1
175,22018,1628991,0021800432,"DEC 15, 2018",MEM vs. HOU,L,31,4,7,0.571,1,2,0.5,0,2,0.0,1,6,7,3,1,3,1,4,9,-6,1
176,22018,1628991,0021800425,"DEC 14, 2018",MEM vs. MIA,L,22,6,9,0.667,0,2,0.0,3,5,0.6,1,3,4,0,2,1,2,2,15,6,1
177,22018,1628991,0021800410,"DEC 12, 2018",MEM vs. POR,W,31,4,8,0.5,2,3,0.667,4,4,1.0,2,4,6,2,1,2,2,3,14,12,1
178,22018,1628991,0021800398,"DEC 10, 2018",MEM @ DEN,L,20,3,7,0.429,0,2,0.0,0,0,0.0,0,3,3,1,2,0,1,1,6,1,1
179,22018,1628991,0021800384,"DEC 08, 2018",MEM vs. LAL,L,27,4,9,0.444,1,4,0.25,2,2,1.0,0,8,8,0,2,0,2,1,11,-3,1
180,22018,1628991,0021800374,"DEC 07, 2018",MEM @ NOP,W,15,1,4,0.25,0,1,0.0,1,2,0.5,0,0,0,0,0,1,2,4,3,0,1
181,22018,1628991,0021800360,"DEC 05, 2018",MEM vs. LAC,W,21,5,10,0.5,1,4,0.25,2,2,1.0,1,5,6,0,1,1,0,6,13,2,1
182,22018,1628991,0021800340,"DEC 02, 2018",MEM @ PHI,L,23,5,10,0.5,1,4,0.25,6,6,1.0,1,2,3,0,1,3,2,5,17,-6,1
183,22018,1628991,0021800323,"NOV 30, 2018",MEM @ BKN,W,43,13,22,0.591,3,7,0.429,7,7,1.0,3,5,8,2,0,0,1,4,36,13,1
184,22018,1628991,0021800303,"NOV 27, 2018",MEM vs. TOR,L,19,1,4,0.25,0,0,0.0,2,2,1.0,0,2,2,0,0,1,3,5,4,-5,1
185,22018,1628991,0021800291,"NOV 25, 2018",MEM vs. NYK,L,30,6,6,1.0,4,4,1.0,0,0,0.0,0,6,6,3,0,7,1,5,16,-1,1
186,22018,1628991,0021800266,"NOV 23, 2018",MEM @ LAC,L,35,8,15,0.533,1,3,0.333,3,5,0.6,1,6,7,3,0,3,3,4,20,-2,1
187,22018,1628991,0021800262,"NOV 21, 2018",MEM @ SAS,W,12,3,4,0.75,2,2,1.0,1,2,0.5,0,1,1,1,0,0,1,5,9,1,1
188,22018,1628991,0021800244,"NOV 19, 2018",MEM vs. DAL,W,36,6,13,0.462,0,3,0.0,1,1,1.0,0,3,3,2,2,4,2,3,13,-1,1
189,22018,1628991,0021800234,"NOV 18, 2018",MEM @ MIN,W,19,6,10,0.6,1,2,0.5,0,0,0.0,1,1,2,1,0,3,3,3,13,7,1
190,22018,1628991,0021800220,"NOV 16, 2018",MEM vs. SAC,W,31,11,16,0.688,1,1,1.0,4,6,0.667,2,4,6,0,4,2,1,5,27,5,1
191,22018,1628991,0021800207,"NOV 14, 2018",MEM @ MIL,W,16,5,8,0.625,1,1,1.0,2,3,0.667,0,2,2,1,2,0,0,5,13,-1,1
192,22018,1628991,0021800194,"NOV 12, 2018",MEM vs. UTA,L,27,4,9,0.444,0,1,0.0,2,2,1.0,5,6,11,3,1,5,4,3,10,-6,1
193,22018,1628991,0021800179,"NOV 10, 2018",MEM vs. PHI,W,31,2,8,0.25,0,2,0.0,3,4,0.75,0,1,1,1,0,1,0,2,7,7,1
194,22018,1628991,0021800158,"NOV 07, 2018",MEM vs. DEN,W,33,7,15,0.467,2,5,0.4,4,6,0.667,3,4,7,0,3,3,3,2,20,0,1
195,22018,1628991,0021800147,"NOV 05, 2018",MEM @ GSW,L,32,6,16,0.375,0,3,0.0,3,6,0.5,2,4,6,2,0,5,2,3,15,-9,1
196,22018,1628991,0021800136,"NOV 04, 2018",MEM @ PHX,L,23,1,2,0.5,0,1,0.0,2,2,1.0,2,1,3,1,0,1,0,3,4,6,1
197,22018,1628991,0021800122,"NOV 02, 2018",MEM @ UTA,W,20,6,9,0.667,1,2,0.5,0,0,0.0,1,0,1,1,1,1,3,5,13,2,1
198,22018,1628991,0021800102,"OCT 30, 2018",MEM vs. WAS,W,10,2,3,0.667,0,0,0.0,0,0,0.0,0,3,3,1,0,0,2,4,4,3,1
199,22018,1628991,0021800080,"OCT 27, 2018",MEM vs. PHX,W,15,2,5,0.4,0,1,0.0,2,2,1.0,0,2,2,1,1,1,1,5,6,-1,1
200,22018,1628991,0021800061,"OCT 24, 2018",MEM @ SAC,L,30,6,16,0.375,0,3,0.0,2,2,1.0,4,3,7,2,1,2,2,6,14,-5,1
201,22018,1628991,0021800045,"OCT 22, 2018",MEM @ UTA,W,27,5,12,0.417,0,4,0.0,1,2,0.5,1,6,7,1,1,0,0,4,11,2,1
202,22018,1628991,0021800020,"OCT 19, 2018",MEM vs. ATL,W,28,8,12,0.667,2,4,0.5,6,9,0.667,1,6,7,2,1,2,2,5,24,-8,1
203,22018,1628991,0021800005,"OCT 17, 2018",MEM @ IND,L,25,2,6,0.333,0,1,0.0,6,6,1.0,2,3,5,1,3,1,0,2,10,-21,1
